"Result","velocity:0","velocity:1","velocity:2","u_f:0","u_f:1","u_f:2","p_f","p_c","p","T","porosity","density","viscosity","thermal_expansivity","melt_density","permeability","melt_viscosity","compaction_viscosity","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.0010003,0,-0.0006627,0,-1.7212e-14,-0.00063107,0,9.4784e+06,13.702,9.4784e+06,0,0.00025008,3000,9.9975e+19,0,2500,5.0047e-18,100,9.9975e+19,1,84,0,84,0
0.0010003,0,-0.0006627,0,-3.5068e-15,-0.00063105,0,9.4544e+06,17.012,9.4544e+06,0,0.00025009,3000,9.9975e+19,0,2500,5.0051e-18,100,9.9975e+19,1,84.8,0,84.8,0
0.0010004,0,-0.0006627,0,2.6367e-15,-0.00063103,0,9.4304e+06,21.077,9.4304e+06,0,0.00025009,3000,9.9975e+19,0,2500,5.0055e-18,100,9.9975e+19,1,85.6,0,85.6,0
0.0010004,0,-0.0006627,0,8.5563e-15,-0.00063101,0,9.4064e+06,26.237,9.4064e+06,0,0.0002501,3000,9.9975e+19,0,2500,5.0061e-18,100,9.9975e+19,1,86.4,0,86.4,0
0.0010005,0,-0.0006627,0,1.4791e-15,-0.00063098,0,9.3824e+06,32.618,9.3824e+06,0,0.00025011,3000,9.9975e+19,0,2500,5.0068e-18,100,9.9975e+19,1,87.2,0,87.2,0
0.0010005,0,-0.0006627,0,9.5799e-16,-0.00063094,0,9.3584e+06,40.461,9.3584e+06,0,0.00025013,3000,9.9975e+19,0,2500,5.0076e-18,100,9.9975e+19,1,88,0,88,0
0.0010006,0,-0.0006627,0,-1.2576e-15,-0.00063089,0,9.3343e+06,50.201,9.3344e+06,0,0.00025014,3000,9.9975e+19,0,2500,5.0087e-18,100,9.9975e+19,1,88.8,0,88.8,0
0.0010007,0,-0.0006627,0,-1.2398e-14,-0.00063083,0,9.3103e+06,62.493,9.3104e+06,0,0.00025017,3000,9.9975e+19,0,2500,5.01e-18,100,9.9975e+19,1,89.6,0,89.6,0
0.0010008,0,-0.0006627,0,-5.7616e-15,-0.00063076,0,9.2863e+06,77.609,9.2864e+06,0,0.00025019,3000,9.9975e+19,0,2500,5.0116e-18,100,9.9975e+19,1,90.4,0,90.4,0
0.0010009,0,-0.0006627,0,-2.6494e-15,-0.00063067,0,9.2622e+06,96.173,9.2623e+06,0,0.00025023,3000,9.9975e+19,0,2500,5.0136e-18,100,9.9975e+19,1,91.2,0,91.2,0
0.0010011,0,-0.0006627,0,9.9651e-15,-0.00063056,0,9.2382e+06,119.6,9.2383e+06,0,0.00025027,3000,9.9975e+19,0,2500,5.016e-18,100,9.9975e+19,1,92,0,92,0
0.0010013,0,-0.0006627,0,1.6247e-14,-0.00063042,0,9.2141e+06,148.7,9.2143e+06,0,0.00025032,3000,9.9975e+19,0,2500,5.0191e-18,100,9.9975e+19,1,92.8,0,92.8,0
0.0010015,0,-0.0006627,0,1.245e-14,-0.00063025,0,9.19e+06,184.44,9.1902e+06,0,0.00025038,3000,9.9975e+19,0,2500,5.0229e-18,100,9.9975e+19,1,93.6,0,93.6,0
0.0010018,0,-0.0006627,0,1.6179e-14,-0.00063004,0,9.1659e+06,228.54,9.1662e+06,0,0.00025046,3000,9.9975e+19,0,2500,5.0276e-18,100,9.9975e+19,1,94.4,0,94.4,0
0.0010022,0,-0.0006627,0,1.5801e-15,-0.00062977,0,9.1418e+06,284.42,9.1421e+06,0,0.00025056,3000,9.9975e+19,0,2500,5.0336e-18,100,9.9975e+19,1,95.2,0,95.2,0
0.0010027,0,-0.0006627,0,3.5535e-15,-0.00062944,0,9.1176e+06,353.06,9.118e+06,0,0.00025068,3000,9.9975e+19,0,2500,5.041e-18,100,9.9975e+19,1,96,0,96,0
0.0010033,0,-0.0006627,0,-7.1601e-15,-0.00062904,0,9.0934e+06,437.23,9.0939e+06,0,0.00025083,3000,9.9975e+19,0,2500,5.05e-18,100,9.9975e+19,1,96.8,0,96.8,0
